,0
1231,0
1232,1
1233,7
1234,0
1235,6
1236,1
1237,2
1238,5
1239,1
1240,6
1241,2
1242,1
1243,1
1244,1
1245,7
1246,7
1247,3
1248,1
1249,1
1250,1
1251,1
1252,1
1253,3
1254,0
1255,7
1256,7
1257,7
1258,7
1259,7
1260,5
1261,2
1262,1
1263,2
1264,1
1265,1
1266,1
1267,1
1268,2
1269,3
1270,0
1271,7
1272,3
1273,1
1274,6
1275,5
1276,0
1277,1
1278,1
1279,3
1280,1
1281,2
1282,1
1283,0
1284,1
1285,1
1286,1
1287,2
1288,1
1289,1
1290,1
1291,7
1292,7
1293,1
1294,1
1295,0
1296,6
1297,0
1298,7
1299,1
1300,7
1301,3
1302,1
1303,7
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
1310,6
1311,3
1312,2
1313,0
1314,1
1315,1
1316,7
1317,2
1318,0
1319,1
1320,1
1321,7
1322,1
1323,6
1324,5
1325,6
1326,5
1327,1
1328,6
1329,1
1330,5
1331,1
1332,1
1333,1
1334,5
1335,1
1336,1
1337,2
1338,3
1339,0
1340,6
1341,0
1342,7
1343,1
1344,7
1345,6
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,6
1353,1
1354,1
1355,1
1356,5
1357,2
1358,1
1359,7
1360,1
1361,1
1362,5
1363,1
1364,2
1365,0
1366,2
1367,2
1368,1
1369,5
1370,7
1371,2
1372,5
1373,6
1374,5
1375,7
1376,1
1377,5
1378,5
1379,2
1380,2
1381,1
1382,1
1383,1
1384,1
1385,5
1386,1
1387,1
1388,2
1389,4
1390,7
1391,2
1392,1
1393,2
1394,7
1395,1
1396,7
1397,7
1398,1
1399,5
1400,1
1401,1
1402,6
1403,5
1404,1
1405,1
1406,7
1407,1
1408,1
1409,5
1410,1
1411,1
1412,1
1413,1
1414,6
1415,1
1416,6
1417,1
1418,1
1419,1
1420,1
1421,6
1422,7
1423,1
1424,1
1425,5
1426,7
1427,1
1428,0
1429,1
1430,1
1431,1
1432,2
1433,5
1434,2
1435,4
1436,7
1437,7
1438,1
1439,7
1440,5
1441,7
1442,5
1443,5
1444,1
1445,1
1446,4
1447,2
1448,3
1449,0
1450,1
1451,3
1452,1
1453,5
1454,1
1455,7
1456,1
1457,1
1458,3
1459,0
1460,1
1461,1
1462,4
1463,1
1464,0
1465,1
1466,5
1467,1
1468,1
1469,1
1470,7
1471,5
1472,0
1473,1
1474,1
1475,0
1476,2
1477,6
1478,6
1479,3
1480,1
1481,7
1482,1
1483,7
1484,0
1485,7
1486,1
1487,1
1488,2
1489,1
1490,1
1491,4
1492,1
1493,7
1494,2
1495,5
1496,1
1497,5
1498,1
1499,1
1500,1
1501,1
1502,1
1503,2
1504,1
1505,0
1506,1
1507,3
1508,2
1509,1
1510,1
1511,7
1512,1
1513,6
1514,1
1515,0
1516,7
1517,1
1518,1
1519,0
1520,1
1521,2
1522,3
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,2
1530,6
1531,1
1532,1
1533,1
1534,5
1535,4
1536,1
1537,0
1538,1
1539,2
1540,0
1541,3
1542,0
1543,5
1544,1
1545,1
1546,5
1547,1
1548,4
1549,2
1550,7
1551,0
1552,4
1553,0
1554,1
1555,1
1556,3
1557,1
1558,5
1559,7
1560,3
1561,5
1562,1
1563,1
1564,5
1565,1
1566,1
1567,1
1568,1
1569,2
1570,2
1571,1
1572,1
1573,1
1574,1
1575,5
1576,1
1577,1
1578,5
1579,5
1580,6
1581,7
1582,1
1583,3
1584,1
1585,5
1586,7
1587,7
1588,1
1589,1
1590,7
1591,5
1592,3
1593,1
1594,5
1595,0
1596,0
1597,1
1598,1
1599,1
1600,1
1601,1
1602,5
1603,1
1604,1
1605,1
1606,5
1607,5
1608,1
1609,7
1610,1
1611,2
1612,3
1613,1
1614,6
1615,2
1616,3
1617,1
1618,1
1619,2
1620,1
1621,2
1622,7
1623,5
1624,1
1625,6
1626,3
1627,6
1628,7
1629,1
1630,3
1631,1
1632,7
1633,1
1634,1
1635,7
1636,1
1637,6
1638,3
1639,1
1640,1
1641,2
1642,1
1643,1
1644,4
1645,5
1646,7
1647,2
1648,2
1649,0
1650,1
1651,0
1652,1
1653,1
1654,2
1655,6
1656,2
1657,1
1658,2
1659,1
1660,3
1661,1
1662,1
1663,2
1664,7
1665,1
1666,1
1667,7
1668,7
1669,1
1670,1
1671,1
1672,6
1673,0
1674,1
1675,0
1676,6
1677,1
1678,5
1679,7
1680,2
1681,1
1682,1
1683,1
1684,7
1685,6
1686,1
1687,1
1688,1
1689,1
1690,7
1691,0
1692,5
1693,5
1694,3
1695,1
1696,1
1697,1
1698,5
1699,7
1700,7
1701,1
1702,1
1703,1
1704,1
1705,1
1706,4
1707,0
1708,1
1709,7
1710,5
1711,2
1712,0
1713,6
1714,5
1715,1
1716,5
1717,3
1718,0
1719,5
1720,1
1721,7
1722,0
1723,4
1724,1
1725,1
1726,7
1727,5
1728,0
1729,1
1730,2
1731,7
1732,6
1733,0
1734,0
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,5
1745,1
1746,1
1747,3
1748,6
1749,1
1750,5
1751,2
1752,1
1753,1
1754,3
1755,1
1756,1
1757,1
1758,7
1759,1
1760,1
1761,1
1762,1
1763,4
1764,5
1765,5
1766,7
1767,1
1768,1
1769,1
1770,1
1771,7
1772,7
1773,1
1774,2
1775,2
1776,1
1777,1
1778,7
1779,1
1780,7
1781,6
1782,0
1783,7
1784,6
1785,1
1786,1
1787,5
1788,1
1789,2
1790,0
1791,6
1792,5
1793,1
1794,7
1795,1
1796,0
1797,6
1798,7
1799,2
1800,7
1801,0
1802,3
1803,1
1804,5
1805,1
1806,1
1807,6
1808,1
1809,1
1810,2
1811,1
1812,3
1813,7
1814,1
1815,7
1816,0
1817,1
1818,6
1819,1
1820,1
1821,1
1822,7
1823,1
1824,2
1825,1
1826,0
1827,7
1828,1
1829,6
1830,2
1831,5
1832,7
1833,4
1834,3
1835,6
1836,0
1837,1
1838,1
1839,0
1840,0
1841,1
1842,1
1843,1
1844,1
1845,1
1846,0
1847,7
1848,1
1849,5
1850,7
1851,0
1852,3
1853,0
1854,1
1855,7
1856,0
1857,1
1858,1
1859,1
1860,0
1861,4
1862,1
1863,7
1864,1
1865,7
1866,1
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,5
1875,4
1876,7
1877,7
1878,2
1879,3
1880,7
1881,4
1882,1
1883,1
1884,1
1885,2
1886,6
1887,1
1888,6
1889,6
1890,5
1891,1
1892,1
1893,5
1894,5
1895,1
1896,1
1897,1
1898,7
1899,7
1900,1
1901,1
1902,3
1903,1
1904,1
1905,1
1906,1
1907,2
1908,7
1909,0
1910,1
1911,1
1912,5
1913,4
1914,1
1915,2
1916,5
1917,1
1918,6
1919,1
1920,0
1921,5
1922,1
1923,0
1924,1
1925,5
1926,5
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,6
1934,2
1935,6
1936,4
1937,0
1938,1
1939,1
1940,1
1941,1
1942,5
1943,1
1944,2
1945,2
1946,7
1947,3
1948,5
1949,7
1950,6
1951,2
1952,5
1953,2
1954,2
1955,1
1956,1
1957,1
1958,1
1959,2
1960,6
1961,0
1962,1
1963,5
1964,7
1965,2
1966,2
1967,1
1968,6
1969,1
1970,4
1971,1
1972,1
1973,1
1974,3
1975,1
1976,7
1977,1
1978,1
1979,1
1980,0
1981,2
1982,1
1983,1
1984,6
1985,7
1986,0
1987,1
1988,2
1989,0
1990,1
1991,0
1992,4
1993,1
1994,1
1995,7
1996,1
1997,5
1998,7
1999,5
2000,0
2001,1
2002,1
2003,1
2004,7
2005,1
2006,5
2007,7
2008,1
2009,4
2010,1
2011,3
2012,1
2013,5
2014,1
2015,6
2016,6
2017,3
2018,7
2019,2
2020,7
2021,3
2022,3
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,6
2030,7
2031,1
2032,2
2033,1
2034,1
2035,5
2036,6
2037,0
2038,1
2039,5
2040,1
2041,1
2042,1
2043,5
2044,1
2045,7
2046,0
2047,1
2048,7
2049,0
2050,3
2051,1
2052,0
2053,3
2054,1
2055,4
2056,0
2057,6
2058,1
2059,1
2060,1
2061,0
2062,1
2063,1
2064,1
2065,1
2066,5
2067,1
2068,2
2069,1
2070,1
2071,1
2072,1
2073,2
2074,5
2075,1
2076,1
2077,0
2078,1
2079,1
2080,1
2081,1
2082,0
2083,7
2084,1
2085,1
2086,1
2087,2
2088,1
2089,5
2090,1
2091,1
2092,7
2093,0
2094,1
2095,1
2096,2
2097,1
2098,1
2099,3
2100,1
2101,4
2102,1
2103,2
2104,1
2105,7
2106,0
2107,7
2108,1
2109,2
2110,7
2111,2
2112,1
2113,4
2114,1
2115,1
2116,0
2117,3
2118,1
2119,3
2120,1
2121,1
2122,7
2123,2
2124,1
2125,0
2126,1
2127,1
2128,1
2129,1
2130,3
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,5
2139,6
2140,2
2141,7
2142,2
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,7
2150,6
2151,2
2152,1
2153,2
2154,1
2155,1
2156,1
2157,0
2158,5
2159,7
2160,7
2161,2
2162,7
2163,0
2164,1
2165,3
2166,1
2167,7
2168,1
2169,0
2170,1
2171,1
2172,4
2173,5
2174,1
2175,1
2176,1
2177,3
2178,1
2179,7
2180,7
2181,5
2182,7
2183,1
2184,1
2185,2
2186,2
2187,6
2188,1
2189,5
2190,1
2191,1
2192,7
2193,1
2194,1
2195,5
2196,1
2197,2
2198,1
2199,3
2200,4
2201,1
2202,0
2203,1
2204,5
2205,5
2206,0
2207,1
2208,7
2209,2
2210,2
2211,1
2212,1
2213,0
2214,1
2215,7
2216,0
2217,1
2218,7
2219,7
2220,0
2221,1
2222,5
2223,3
2224,1
2225,1
2226,1
2227,1
2228,4
2229,1
2230,3
2231,0
2232,1
2233,1
2234,5
2235,5
2236,0
2237,1
2238,2
2239,4
2240,5
2241,1
2242,1
2243,7
2244,2
2245,0
2246,1
2247,1
2248,4
2249,5
2250,0
2251,7
2252,7
2253,2
2254,1
2255,1
2256,2
2257,5
2258,1
2259,2
2260,0
2261,0
2262,7
2263,1
2264,1
2265,2
2266,1
2267,0
2268,1
2269,6
2270,1
2271,7
2272,1
2273,1
2274,7
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,5
2284,1
2285,0
2286,1
2287,7
2288,1
2289,1
2290,1
2291,0
2292,1
2293,2
2294,1
2295,3
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,7
2305,5
2306,5
2307,0
2308,1
2309,1
2310,3
2311,6
2312,1
2313,2
2314,1
2315,3
2316,1
2317,1
2318,1
2319,1
2320,1
2321,6
2322,5
2323,0
2324,1
2325,1
2326,1
2327,1
2328,7
2329,3
2330,6
2331,2
2332,1
2333,1
2334,1
2335,1
2336,7
2337,7
2338,1
2339,0
2340,7
2341,1
2342,0
2343,3
2344,1
2345,5
2346,1
2347,2
2348,1
2349,1
2350,6
2351,1
2352,1
2353,1
2354,2
2355,1
2356,1
2357,5
2358,1
2359,1
2360,1
2361,5
2362,5
2363,3
2364,1
2365,0
2366,2
2367,7
2368,7
2369,7
2370,5
2371,1
2372,7
2373,1
2374,1
2375,1
2376,2
2377,1
2378,1
2379,1
2380,5
2381,1
2382,1
2383,7
2384,1
2385,0
2386,7
2387,1
2388,4
2389,1
2390,1
2391,1
2392,2
2393,2
2394,2
2395,1
2396,7
2397,1
2398,2
2399,0
2400,7
2401,1
2402,1
2403,1
2404,3
2405,1
2406,2
2407,1
2408,1
2409,1
2410,1
2411,0
2412,5
2413,6
2414,3
2415,7
2416,1
2417,1
2418,1
2419,1
2420,7
2421,1
2422,3
2423,6
2424,7
2425,5
2426,1
2427,2
2428,0
2429,0
2430,7
2431,5
2432,6
2433,1
2434,1
2435,2
2436,7
2437,5
2438,5
2439,3
2440,4
2441,6
2442,1
2443,3
2444,1
2445,0
2446,1
2447,6
2448,5
2449,1
2450,1
2451,5
2452,1
2453,3
2454,1
2455,0
2456,0
2457,7
2458,0
2459,1
2460,1
2461,1
2462,7
2463,2
2464,1
2465,1
2466,2
2467,2
2468,3
2469,2
2470,1
2471,1
2472,3
2473,2
2474,2
2475,0
2476,0
2477,1
2478,0
2479,1
2480,7
2481,1
2482,2
2483,1
2484,1
2485,2
2486,1
2487,1
2488,2
2489,0
2490,2
2491,1
2492,7
2493,1
2494,5
2495,7
2496,0
2497,6
2498,3
2499,6
2500,1
2501,5
2502,5
2503,1
2504,1
2505,7
2506,2
2507,1
2508,5
2509,1
2510,7
2511,1
2512,7
2513,2
2514,1
2515,0
2516,5
2517,1
2518,1
2519,1
2520,5
2521,5
2522,6
2523,1
2524,0
2525,1
2526,4
2527,1
2528,0
2529,1
2530,1
2531,6
2532,1
2533,4
2534,1
2535,0
2536,5
2537,5
2538,1
2539,5
2540,0
2541,6
2542,1
2543,4
2544,1
2545,2
2546,2
2547,7
2548,2
2549,7
2550,5
2551,1
2552,5
2553,1
2554,1
2555,7
2556,1
2557,6
2558,1
2559,1
2560,1
2561,7
2562,5
2563,1
2564,1
2565,6
2566,1
2567,7
2568,7
2569,1
2570,1
2571,7
2572,3
2573,2
2574,1
2575,0
2576,2
2577,1
2578,6
2579,0
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,4
2587,3
2588,1
2589,0
2590,5
2591,3
2592,5
2593,1
2594,1
2595,7
2596,0
2597,1
2598,0
2599,3
2600,7
2601,2
2602,2
2603,1
2604,2
2605,6
2606,1
2607,1
2608,6
2609,1
2610,5
2611,1
2612,5
2613,1
2614,4
2615,7
2616,2
2617,4
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,6
2625,1
2626,0
2627,1
2628,1
2629,5
2630,5
2631,3
2632,2
2633,2
2634,2
2635,7
2636,1
2637,5
2638,7
2639,0
2640,0
2641,2
2642,5
2643,6
2644,7
2645,1
2646,1
2647,1
2648,1
2649,5
2650,5
2651,1
2652,5
2653,0
2654,0
2655,7
2656,2
2657,0
2658,1
2659,7
2660,1
2661,1
2662,5
2663,6
2664,1
2665,6
2666,1
2667,1
2668,7
2669,0
2670,6
2671,2
2672,1
2673,1
2674,5
2675,7
2676,6
2677,0
2678,1
2679,1
2680,7
2681,2
2682,0
2683,3
2684,1
2685,1
2686,3
2687,1
2688,2
2689,3
2690,5
2691,1
2692,0
2693,6
2694,1
2695,5
2696,5
2697,5
2698,3
2699,2
2700,1
2701,6
2702,1
2703,0
2704,3
2705,1
2706,1
2707,1
2708,1
2709,1
2710,1
2711,3
2712,7
2713,1
2714,7
2715,1
2716,5
2717,0
2718,2
2719,6
2720,6
2721,1
2722,1
2723,7
2724,0
2725,1
2726,1
2727,1
2728,1
2729,1
2730,5
2731,1
2732,1
2733,7
2734,3
2735,1
2736,5
2737,6
2738,1
2739,2
2740,1
2741,6
2742,5
2743,2
2744,2
2745,2
2746,1
2747,6
2748,7
2749,1
2750,1
2751,1
2752,1
2753,4
2754,2
2755,7
2756,1
2757,7
2758,2
2759,7
2760,6
2761,5
2762,5
2763,1
2764,1
2765,2
2766,1
2767,1
2768,6
2769,1
2770,0
2771,2
2772,0
2773,1
2774,7
2775,0
2776,1
2777,1
2778,0
2779,2
2780,5
2781,1
2782,1
2783,1
2784,6
2785,6
2786,1
2787,1
2788,7
2789,1
2790,1
2791,2
2792,1
2793,0
2794,1
2795,1
2796,1
2797,1
2798,5
2799,1
2800,7
2801,6
2802,3
2803,1
2804,5
2805,3
2806,1
2807,1
2808,1
2809,1
2810,1
2811,1
2812,0
2813,1
2814,2
2815,7
2816,1
2817,7
2818,1
2819,1
2820,1
2821,7
2822,0
2823,2
2824,7
2825,3
2826,0
2827,7
2828,4
2829,7
2830,1
2831,1
2832,1
2833,1
2834,2
2835,5
2836,7
2837,4
2838,2
2839,0
2840,7
2841,1
2842,6
2843,1
2844,1
2845,1
2846,1
2847,1
2848,0
2849,7
2850,2
2851,0
2852,1
2853,1
2854,1
2855,1
2856,7
2857,7
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,5
2865,1
2866,1
2867,1
2868,5
2869,5
2870,3
2871,5
2872,1
2873,5
2874,5
2875,7
2876,1
2877,6
2878,7
2879,2
2880,0
2881,2
2882,0
2883,2
2884,5
2885,1
2886,7
2887,1
2888,5
2889,6
2890,1
2891,5
2892,5
2893,6
2894,2
2895,2
2896,1
2897,1
2898,2
2899,3
2900,1
2901,1
2902,0
2903,7
2904,7
2905,1
2906,6
2907,1
2908,0
2909,1
2910,1
2911,1
2912,1
2913,3
2914,7
2915,1
2916,1
2917,1
2918,1
2919,6
2920,1
2921,7
2922,1
2923,1
2924,7
2925,0
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,6
2933,6
2934,4
2935,1
2936,1
2937,7
2938,2
2939,7
2940,1
2941,1
2942,1
2943,3
2944,5
2945,1
2946,1
2947,5
2948,1
2949,1
2950,5
2951,7
2952,1
2953,2
2954,1
2955,7
2956,1
2957,5
2958,7
2959,2
2960,7
2961,7
2962,1
2963,1
2964,0
2965,3
2966,1
2967,0
2968,5
2969,7
2970,1
2971,1
2972,1
2973,4
2974,6
2975,0
2976,1
2977,1
2978,3
2979,6
2980,1
2981,1
2982,5
2983,1
2984,1
2985,7
2986,1
2987,1
2988,2
2989,5
2990,1
2991,7
2992,0
2993,2
2994,4
2995,0
2996,1
2997,2
